id,name_kor,name_eng,fish_difficulty,prohibit_id,release_standard_id
1,Âüµ¼,red sea bream,2,1,1
2,³ó¾î,sea bass,1,2,2
3,Àü°»ÀÌ,horse mackerel,3,3,3
4,¼ş¾î,mugil cephalus,2,4,4
5,Âü°íµî¾î,scomber japonicus,1,5,5
6,³ÒÄ¡,flatfish,2,6,6
7,¿ì·°,korean rockfish,2,7,7
8,°¨¼ºµ¼,black sea bream,1,8,8
9,µ¹µ¼,rock bream,2,9,9
10,Áã³ë·¡¹Ì,greenling,3,10,10
